The capital city of Uruguay	The capital city of Uruguay is Montevideo.
The capital city of Uzbekistan	The capital city of Uzbekistan is Tashkent.
The capital city of Vanuatu	The capital city of Vanuatu is Port Vila.
The capital city of Vatican City	The capital city of Vatican City is Vatican City.
The capital city of Venezuela	The capital city of Venezuela is Caracas.
The capital city of Vietnam	The capital city of Vietnam is Hanoi.
The capital city of Wales	The capital city of Wales is Cardiff.
The capital city of Wallis and Futuna	The capital city of Wallis and Futuna is Mata-Utu.
The capital city of Western Sahara	The capital city of Western Sahara is El Aaiún.
The capital city of Yemen	The capital city of Yemen is Sanaá.
The capital city of Zambia	The capital city of Zambia is Lusaka.
The capital city of Zimbabwe	The capital city of Zimbabwe is Harare.
